droga;koszt;czas[s]
[5];132;0,0
[5];132;0,0
[5];132;0,0010013580322265625
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[5];132;0,0010004043579101562
[5];132;0,0
[5];132;0,0
[5];132;0,001001596450805664
[5];132;0,0
[5];132;0,0010004043579101562
[5];132;0,0
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,0010006427764892578
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[5];132;0,0
[5];132;0,0010004043579101562
[5];132;0,0
[5];132;0,0010018348693847656
[5];132;0,0
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,0010004043579101562
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,0010006427764892578
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[5];132;0,0
[5];132;0,0010004043579101562
[5];132;0,0
[5];132;0,0010018348693847656
[5];132;0,0
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,0010004043579101562
[5];132;0,0
[5];132;0,0010013580322265625
[5];132;0,0
[5];132;0,0
[5];132;0,0010006427764892578
[5];132;0,0
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[5];132;0,0010006427764892578
[5];132;0,0
[5];132;0,0
[5];132;0,0010006427764892578
[5];132;0,0
[5];132;0,0
[5];132;0,0010008811950683594
[5];132;0,0
[5];132;0,0
[5];132;0,001001596450805664
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[5];132;0,0
[5];132;0,0010001659393310547
[5];132;0,0
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[5];132;0,0
[5];132;0,0010006427764892578
[5];132;0,0
[5];132;0,001001119613647461
[5];132;0,0
[4];80;0,002000570297241211
[4];80;0,0010008811950683594
[4];80;0,001001119613647461
[4];80;0,0010006427764892578
[4];80;0,0020024776458740234
[4];80;0,0010008811950683594
[4];80;0,0010008811950683594
[4];80;0,0010008811950683594
[4];80;0,0010018348693847656
[4];80;0,0010001659393310547
[4];80;0,001001596450805664
[4];80;0,0010001659393310547
[4];80;0,001001119613647461
[4];80;0,0010006427764892578
[4];80;0,0010008811950683594
[4];80;0,0010006427764892578
[4];80;0,002002239227294922
[4];80;0,0010018348693847656
[4];80;0,0009999275207519531
[4];80;0,0010013580322265625
[4];80;0,0010004043579101562
[4];80;0,0010008811950683594
[4];80;0,0010008811950683594
[4];80;0,0010008811950683594
[4];80;0,001001119613647461
[4];80;0,0010013580322265625
[4];80;0,0010004043579101562
[4];80;0,001001119613647461
[4];80;0,002001523971557617
[4];80;0,0010013580322265625
[4];80;0,0010004043579101562
[4];80;0,0010008811950683594
[4];80;0,0010013580322265625
[4];80;0,0010006427764892578
[4];80;0,001001119613647461
[4];80;0,0010004043579101562
[4];80;0,0010018348693847656
[4];80;0,0010001659393310547
[4];80;0,001001596450805664
[4];80;0,0020017623901367188
[4];80;0,0009999275207519531
[4];80;0,001001119613647461
[4];80;0,0010008811950683594
[4];80;0,0010008811950683594
[4];80;0,001001119613647461
[4];80;0,001001596450805664
[4];80;0,0010001659393310547
[4];80;0,001001596450805664
[4];80;0,0010004043579101562
[4];80;0,0010006427764892578
[4];80;0,002002239227294922
[4];80;0,0010006427764892578
[4];80;0,0010006427764892578
[4];80;0,001001119613647461
[4];80;0,001001596450805664
[4];80;0,0010008811950683594
[4];80;0,0010008811950683594
[4];80;0,0010004043579101562
[4];80;0,0010006427764892578
[4];80;0,001001119613647461
[4];80;0,001001119613647461
[4];80;0,001001119613647461
[4];80;0,0010004043579101562
[4];80;0,0020029544830322266
[4];80;0,0009999275207519531
[4];80;0,001001596450805664
[4];80;0,0010006427764892578
[4];80;0,0010001659393310547
[4];80;0,001001119613647461
[4];80;0,0010013580322265625
[4];80;0,0010004043579101562
[4];80;0,001001119613647461
[4];80;0,0010008811950683594
[4];80;0,001001596450805664
[4];80;0,002001523971557617
[4];80;0,0010004043579101562
[4];80;0,001001119613647461
[4];80;0,001001119613647461
[4];80;0,0010004043579101562
[4];80;0,001001119613647461
[4];80;0,001001119613647461
[4];80;0,0010006427764892578
[4];80;0,0010013580322265625
[4];80;0,0010006427764892578
[4];80;0,0010013580322265625
[4];80;0,0010004043579101562
[4];80;0,0020017623901367188
[4];80;0,001001119613647461
[4];80;0,001001119613647461
[4];80;0,0010004043579101562
[4];80;0,0010008811950683594
[4];80;0,0010018348693847656
[4];80;0,0009999275207519531
[4];80;0,001001596450805664
[4];80;0,0010006427764892578
[4];80;0,0010006427764892578
[4];80;0,001001119613647461
[4];80;0,0010006427764892578
[4];80;0,002002716064453125
[4];80;0,0010001659393310547
[3];212;0,2081890106201172
[3];212;0,20918917655944824
[3];212;0,20718932151794434
[3];212;0,20718789100646973
[3];212;0,20718789100646973
[3];212;0,20618796348571777
[3];212;0,20818853378295898
[3];212;0,2081897258758545
[3];212;0,20818877220153809
[3];212;0,20718908309936523
[3];212;0,20718812942504883
[3];212;0,20718741416931152
[3];212;0,2081897258758545
[3];212;0,20718812942504883
[3];212;0,2081899642944336
[3];212;0,20618629455566406
[3];212;0,2082533836364746
[3];212;0,21319293975830078
[3];212;0,20969414710998535
[3];212;0,2131938934326172
[3];212;0,21810030937194824
[3];212;0,2085130214691162
[3];212;0,22289252281188965
[3];212;0,21625971794128418
[3];212;0,21753263473510742
[3];212;0,21079039573669434
[3];212;0,21919894218444824
[3];212;0,21119189262390137
[3];212;0,22220230102539062
[3];212;0,21046185493469238
[3];212;0,20918893814086914
[3];212;0,21117258071899414
[3];212;0,20999479293823242
[3];212;0,2101907730102539
[3];212;0,21119332313537598
[3];212;0,2101900577545166
[3];212;0,210191011428833
[3];212;0,2101917266845703
[3];212;0,2081890106201172
[3];212;0,20995640754699707
[3];212;0,21113348007202148
[3];212;0,2101912498474121
[3];212;0,210191011428833
[3];212;0,2107679843902588
[3];212;0,20919013023376465
[3];212;0,21119236946105957
[3];212;0,2091987133026123
[3];212;0,209181547164917
[3];212;0,20919013023376465
[3];212;0,21619725227355957
